,type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location,spam,hashtags,sentiment_score,sentiment,datetime,seconds,tokens,keywords,labels,score_fire,score_emergency,score_crime
0,mbdata,20140123170000,POK,follow us @pok-kronos,,,,1,[],0.0,1,2014-01-23 17:00:00,61200.0,"['follow', 'us', '@', 'pok-kronos']","['follow', 'us', 'pok-kronos']",[],0.0,0.0,0.0
1,mbdata,20140123170000,maha_Homeland,don't miss a moment!  follow our live coverage of the pok rally in the park!,,,,1,[],0.17045454545454544,1,2014-01-23 17:00:00,61200.0,"['do', ""n't"", 'miss', 'a', 'moment', '!', 'follow', 'our', 'live', 'coverage', 'of', 'the', 'pok', 'rally', 'in', 'the', 'park', '!']","['miss', 'moment', 'follow', 'live', 'coverage', 'pok', 'rally', 'park']",[],0.0,0.0,0.0
2,mbdata,20140123170000,Viktor-E,come join us in the park! music tonight at abila city park!,,,,1,[],0.0,1,2014-01-23 17:00:00,61200.0,"['come', 'join', 'us', 'in', 'the', 'park', '!', 'music', 'tonight', 'at', 'abila', 'city', 'park', '!']","['come', 'join', 'us', 'park', 'music', 'tonight', 'abila', 'city', 'park']",[],0.0,0.0,0.0
3,mbdata,20140123170000,KronosStar,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.˜ #kronosstar,,,,0,['#KronosStar'],0.0,1,2014-01-23 17:00:00,61200.0,"['pok', 'rally', 'to', 'start', 'in', 'abila', 'city', 'park', '.', 'pok', 'leader', 'sylvia', 'marek', 'to', 'open', 'with', 'a', 'speech.˜', '#', 'kronosstar']","['pok', 'rally', 'start', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'open', 'speech.˜', 'kronosstar']",[],0.0,0.0,0.0
4,mbdata,20140123170000,AbilaPost,pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,0,['#AbilaPost'],0.0,1,2014-01-23 17:00:00,61200.0,"['pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],0.0,0.0,30.0
5,mbdata,20140123170000,ourcountryourrights,pok rally in the park tonight! #pokrally,,,,0,['#POKrally'],0.0,1,2014-01-23 17:00:00,61200.0,"['pok', 'rally', 'in', 'the', 'park', 'tonight', '!', '#', 'pokrally']","['pok', 'rally', 'park', 'tonight', 'pokrally']",[],0.0,0.0,0.0
6,mbdata,20140123170000,ReggieWassali,great day for a rally! #rememberjuliana #rememberelian #pok,,,,0,"['#RememberJuliana', '#RememberElian', '#POK']",1.0,1,2014-01-23 17:00:00,61200.0,"['great', 'day', 'for', 'a', 'rally', '!', '#', 'rememberjuliana', '#', 'rememberelian', '#', 'pok']","['great', 'day', 'rally', 'rememberjuliana', 'rememberelian', 'pok']",[],0.0,0.0,0.0
7,mbdata,20140123170000,MindOfKronos,"ugh, these pokers are anooying! #pok #gowaway",,,,1,"['#POK', '#gowaway']",0.0,1,2014-01-23 17:00:00,61200.0,"['ugh', ',', 'these', 'pokers', 'are', 'anooying', '!', '#', 'pok', '#', 'gowaway']","['ugh', 'pokers', 'anooying', 'pok', 'gowaway']",[],0.0,0.0,0.0
8,mbdata,20140123170000,FriendsOfKronos,massive rally of pok terrorists - cops are gathered waiting for arrests,,,,0,[],0.0,1,2014-01-23 17:00:00,61200.0,"['massive', 'rally', 'of', 'pok', 'terrorists', '-', 'cops', 'are', 'gathered', 'waiting', 'for', 'arrests']","['massive', 'rally', 'pok', 'terrorists', 'cops', 'gathered', 'waiting', 'arrests']",['crime'],0.0,0.0,150.0
9,ccdata,20140123170000,,keep the peace-crowd control/abila city park,,,Egeou St / Parla St,0,[],0.0,1,2014-01-23 17:00:00,61200.0,"['keep', 'the', 'peace-crowd', 'control/abila', 'city', 'park']","['keep', 'peace-crowd', 'control/abila', 'city', 'park']",[],0.0,0.0,0.0
10,mbdata,20140123170000,rockinHW,artist ? musician? need more followers ? click here  followme.kronos/artists #abila #artists,,,,1,"['#abila', '#artists']",0.5,1,2014-01-23 17:00:00,61200.0,"['artist', '?', 'musician', '?', 'need', 'more', 'followers', '?', 'click', 'here', 'followme.kronos/artists', '#', 'abila', '#', 'artists']","['artist', 'musician', 'need', 'followers', 'click', 'followme.kronos/artists', 'abila', 'artists']",[],0.0,0.0,0.0
11,mbdata,20140123170000,KronosQuoth,success is walking from failure to failure with no loss of enthusiasm.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",-0.11111111111111115,0,2014-01-23 17:00:00,61200.0,"['success', 'is', 'walking', 'from', 'failure', 'to', 'failure', 'with', 'no', 'loss', 'of', 'enthusiasm', '.', '#', 'pokrally', '#', 'hi']","['success', 'walking', 'failure', 'failure', 'loss', 'enthusiasm', 'pokrally']",[],0.0,0.0,0.0
12,mbdata,20140123170000,KronosQuoth,a person who never made a mistake never tried anything new.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",0.13636363636363635,1,2014-01-23 17:00:00,61200.0,"['a', 'person', 'who', 'never', 'made', 'a', 'mistake', 'never', 'tried', 'anything', 'new', '.', '#', 'kronosstar', '#', 'pokrally']","['person', 'never', 'made', 'mistake', 'never', 'tried', 'anything', 'new', 'kronosstar', 'pokrally']",[],0.0,0.0,0.0
